company_name,website,primary_category,subcategory,hq_country
Acronis,https://www.acronis.com,Cloud Infrastructure,Backup & Disaster Recovery,Switzerland
Age Encryption,https://age-encryption.org,Security,Secrets Management,USA
Alibaba Cloud,https://alibabacloud.com,Cloud Infrastructure,Cloud Provider,China
Alluxio,https://www.alluxio.io,Data & Analytics,Distributed Storage,USA
Anthos,https://cloud.google.com/anthos,Cloud Infrastructure,Multi-Cloud Management,USA
Antrea,https://antrea.io,Cloud Infrastructure,Container Networking,USA
Apache APISIX,https://apisix.apache.org,DevOps,API Gateway,China
apko,https://github.com/chainguard-dev/apko,Security,Container Security,USA
Apptio,https://www.apptio.com,Cloud Infrastructure,FinOps & Cost Management,USA
Architect (arc.codes),https://arc.codes,Cloud Infrastructure,Serverless Framework,USA
Arcserve,https://www.arcserve.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
Axcient,https://axcient.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
Azure Arc,https://azure.microsoft.com/en-us/products/azure-arc,Cloud Infrastructure,Multi-Cloud Management,USA
Begin,https://begin.com,Cloud Infrastructure,Serverless Platform,USA
Better Stack,https://betterstack.com,DevOps,Incident Management & Monitoring,Czech Republic
Binadox,https://binadox.com,Cloud Infrastructure,FinOps & Cost Management,USA
BOSH,https://bosh.io,DevOps,Infrastructure Automation,USA
Bottlerocket OS,https://bottlerocket.aws,Cloud Infrastructure,Container OS,USA
CDKTF,https://developer.hashicorp.com/terraform/cdktf,DevOps,Infrastructure as Code,USA
Cerebrium,https://www.cerebrium.ai,Cloud Infrastructure,ML Inference Platform,South Africa
Cleavr,https://cleavr.io,DevOps,Server Management,USA
Cloud Eagle,https://www.cloudeagle.ai,Cloud Infrastructure,FinOps & Cost Management,USA
CloudAware,https://cloudaware.com,Cloud Infrastructure,FinOps & Cost Management,USA
Cloudflare Workers,https://workers.cloudflare.com,Cloud Infrastructure,Serverless / Edge Computing,USA
CloudHealth (VMware),https://cloudhealth.vmware.com,Cloud Infrastructure,FinOps & Cost Management,USA
Cloudify,https://cloudify.co,Cloud Infrastructure,Cloud Orchestration,Israel
Cloudkeeper,https://www.cloudkeeper.com,Cloud Infrastructure,FinOps & Cost Management,India
Cloudron,https://www.cloudron.io,DevOps,Self-Hosted App Platform,Germany
CloudThread,https://www.cloudthread.io,Cloud Infrastructure,FinOps & Cost Management,USA
Cohesity,https://www.cohesity.com,Cloud Infrastructure,Backup & Data Management,USA
Commvault,https://www.commvault.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
Conduktor,https://www.conduktor.io,Data & Analytics,Kafka Management,UK
Coroot,https://coroot.com,DevOps,Observability,USA
Cosmonic,https://cosmonic.com,Cloud Infrastructure,WebAssembly Platform,USA
Cribl,https://cribl.io,DevOps,Observability Pipeline,USA
CrowdStrike Falcon,https://www.crowdstrike.com,Security,Cloud Security (CNAPP/EDR),USA
Datto,https://www.datto.com,Cloud Infrastructure,Backup & Disaster Recovery,USA
DDoSify (Ddosify),https://ddosify.com,DevOps,Load Testing,Turkey
Digger,https://digger.dev,DevOps,Infrastructure as Code,UK
Driftctl,https://driftctl.com,DevOps,Infrastructure Drift Detection,France
Druva,https://www.druva.com,Cloud Infrastructure,Backup & Data Security,USA
Easypanel,https://easypanel.io,DevOps,Self-Hosted App Platform,Romania
Edge Delta,https://www.edgedelta.com,DevOps,Observability,USA
Elastic APM,https://www.elastic.co/observability/application-performance-monitoring,DevOps,Application Performance Monitoring,USA
Emissary-Ingress,https://www.getambassador.io/products/emissary-ingress,Cloud Infrastructure,Kubernetes Ingress,USA
Escape.tech,https://escape.tech,Security,DAST / API Security,France
Exivity,https://exivity.com,Cloud Infrastructure,FinOps & Cost Management,Netherlands
Exoscale,https://www.exoscale.com,Cloud Infrastructure,Cloud Provider,Switzerland
Extism,https://extism.org,Cloud Infrastructure,WebAssembly Plugin System,USA
Failure Flags,https://github.com/gremlin/failure-flags,DevOps,Chaos Engineering,USA
Fal.ai,https://fal.ai,Cloud Infrastructure,Serverless AI / ML Inference,USA
Fermyon Spin,https://www.fermyon.com/spin,Cloud Infrastructure,WebAssembly Serverless,USA
Firebolt,https://www.firebolt.io,Data & Analytics,Cloud Analytics Database,Israel
Flannel,https://github.com/flannel-io/flannel,Cloud Infrastructure,Container Networking,USA
Flatcar Linux,https://www.flatcar.org,Cloud Infrastructure,Container-Optimized OS,Germany
Flightcontrol,https://www.flightcontrol.dev,DevOps,Cloud Deployment Platform,USA
FluxCD,https://fluxcd.io,DevOps,GitOps / Continuous Delivery,USA
FreshStatus,https://freshstatus.io,DevOps,Status Page,India
Gloo Mesh,https://www.solo.io/products/gloo-mesh,Cloud Infrastructure,Service Mesh Management,USA
Headscale,https://github.com/juanfont/headscale,Cloud Infrastructure,VPN / Networking,Sweden
Helm Dashboard,https://github.com/komodorio/helm-dashboard,DevOps,Kubernetes Management,Israel
Helmfile,https://helmfile.readthedocs.io,DevOps,Kubernetes Package Management,USA
Hetzner Cloud,https://www.hetzner.com/cloud,Cloud Infrastructure,Cloud Provider,Germany
Holori,https://holori.com,Cloud Infrastructure,FinOps & Cost Management,France
Huawei Cloud,https://www.huaweicloud.com,Cloud Infrastructure,Cloud Provider,China
Hubble (Cilium),https://github.com/cilium/hubble,DevOps,Network Observability,USA
IBM Cloud,https://www.ibm.com/cloud,Cloud Infrastructure,Cloud Provider,USA
Imply (Apache Druid),https://imply.io,Data & Analytics,Real-Time Analytics,USA
JuiceFS,https://juicefs.com,Cloud Infrastructure,Distributed File System,China
Juju (Canonical),https://juju.is,DevOps,Infrastructure Orchestration,UK
k0rdent,https://k0rdent.io,Cloud Infrastructure,Multi-Cloud Kubernetes,USA
k6 Cloud,https://k6.io/cloud,DevOps,Load Testing Platform,Sweden
KICS (Checkmarx),https://kics.io,Security,IaC Security Scanning,Israel
Kluctl,https://kluctl.io,DevOps,Kubernetes GitOps,Germany
Komiser,https://www.komiser.io,Cloud Infrastructure,Cloud Resource Management,USA
KRO (Kube Resource Orchestrator),https://kro.run,Cloud Infrastructure,Kubernetes Automation,USA
Kube State Metrics,https://github.com/kubernetes/kube-state-metrics,DevOps,Kubernetes Monitoring,USA
Kubewarden,https://kubewarden.io,Security,Kubernetes Policy Engine,Spain
Latitude.sh,https://www.latitude.sh,Cloud Infrastructure,Bare Metal Cloud,Brazil
Lenses.io,https://lenses.io,Data & Analytics,Kafka Management,UK
Lightning AI,https://lightning.ai,Cloud Infrastructure,AI/ML Platform,USA
Lightstep,https://lightstep.com,DevOps,Distributed Tracing,USA
Linode (Akamai),https://www.linode.com,Cloud Infrastructure,Cloud Provider,USA
Loft (vCluster),https://loft.sh,Cloud Infrastructure,Virtual Kubernetes Clusters,Germany
Mangum,https://github.com/jordaneremieff/mangum,Cloud Infrastructure,Serverless Adapter,USA
