01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
0x-profiler | 0x (profiler) | Performance Monitoring / APM | free | free tier | high lock-in
100ms | 100ms | Real-time / WebSocket Infrastructure | subscription, $500 per month | free tier | low lock-in
11x-ai | 11x | CRM / Lifecycle Automation | custom | no free tier | low lock-in
1kosmos | 1Kosmos | KYC / KYB / AML API | subscription | free tier | low lock-in
1password | 1Password | Secrets Management | subscription, $2.99 | free tier | medium lock-in
1password-secrets | 1Password Secrets | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
1password-secrets-automation | 1Password Secrets Automation | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
1stopvat | 1StopVAT | Invoicing / Taxes / Sales Tax | subscription | no free tier | medium lock-in
1uphealth | 1upHealth | Data Integration / ETL / Reverse ETL | custom | no free tier | medium lock-in
2checkout | 2Checkout | Payment Gateway / PSP | unknown | no free tier | low lock-in
3scale | 3scale | Data Integration / ETL / Reverse ETL | freemium | free tier | high lock-in
42crunch | 42Crunch | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
42matters | 42matters | App Growth Tooling (ASO) | custom | no free tier | medium lock-in
46elks | 46elks | Messaging API (Email / SMS / Voice) | usage | no free tier | medium lock-in
4everland | 4EVERLAND | CDN / Edge / Acceleration | freemium | free tier | high lock-in
8base | 8base | Backend-as-a-Service | seat, $50 /mo | free tier | low lock-in
91app | 91App | Backend-as-a-Service | unknown | no free tier | low lock-in
a-lign | A-LIGN | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
a11ywatch | A11yWatch | Accessibility / A11y Testing | freemium | free tier | high lock-in
aarki | Aarki | Ad Monetization / Mediation | custom | no free tier | low lock-in
ab-apachebench | ab (ApacheBench) | Test Automation / Device Cloud | free | free tier | high lock-in
ab-tasty | AB Tasty | Feature Flags / Remote Config | subscription | no free tier | low lock-in
ab180 | AB180 | Mobile Attribution / MMP | custom | no free tier | low lock-in
abacus-ai | Abacus.AI | AI API / SDK for Developers | custom | no free tier | low lock-in
abby | Abby | Feature Flags / Remote Config | freemium | free tier | high lock-in
ably | Ably | Real-time / WebSocket Infrastructure | subscription, $29 / month | free tier | low lock-in
ably-sdk | Ably SDK | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
abnormal-security | Abnormal Security | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
absint | AbsInt | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
abstra | Abstra | No-code / Low-code App Builders | freemium | free tier | medium lock-in
abstractapi | AbstractAPI | Developer Portals / API Management | freemium | free tier | high lock-in
abstractapi-js | AbstractAPI JS | Developer Portals / API Management | freemium | free tier | high lock-in
accelbyte | AccelByte | Backend-as-a-Service | custom | no free tier | low lock-in
acceldata | Acceldata | Observability / Logging / Tracing | custom | no free tier | medium lock-in
accelq | ACCELQ | Developer Portals / API Management | custom | no free tier | low lock-in
accertify | Accertify | Fraud & Risk Management | subscription, $1 | no free tier | low lock-in
accessibe | accessiBe | Compliance Automation | subscription | no free tier | medium lock-in
accessibility-insights | Accessibility Insights | Accessibility / A11y Testing | free | free tier | high lock-in
accuknox | AccuKnox | Security Scanning / Mobile App Sec | freemium | free tier | high lock-in
ackee | Ackee | Product Analytics | free | free tier | high lock-in
acquia-optimize | Acquia Optimize | Accessibility / A11y Testing | custom | no free tier | low lock-in
acronis | Acronis | Object Storage / Media API | custom | no free tier | low lock-in
actioniq | ActionIQ | Product Analytics | custom | no free tier | low lock-in
activefence | ActiveFence | Content Moderation API | custom | no free tier | low lock-in
activemq | ActiveMQ | Real-time / WebSocket Infrastructure | free | free tier | high lock-in
activepieces | Activepieces | No-code / Low-code App Builders | subscription, $5 | free tier | high lock-in
activiti | Activiti | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
actuated | Actuated | CI/CD for Applications | freemium | free tier | high lock-in
actyx | Actyx | Real-time / WebSocket Infrastructure | freemium | free tier | high lock-in
acuity-scheduling | Acuity Scheduling | Developer Portals / API Management | freemium | free tier | medium lock-in
acunetix | Acunetix | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
ad-plus | Ad.Plus | Ad Monetization / Mediation | usage | free tier | low lock-in
ada | Ada | AI API / SDK for Developers | custom | no free tier | low lock-in
adalo | Adalo | No-code / Low-code App Builders | freemium | free tier | low lock-in
adaptable | Adaptable | Backend-as-a-Service | freemium | free tier | medium lock-in
adapty | Adapty | Subscription Billing | subscription, $0/mo | free tier | medium lock-in
adbrix | Adbrix | Mobile Attribution / MMP | custom | no free tier | low lock-in
adcolony | AdColony | Code Assistants / Agent Tooling | subscription | no free tier | low lock-in
addevent | AddEvent | Developer Portals / API Management | freemium | free tier | high lock-in
addsearch | AddSearch | Search / Recommendations API | subscription | no free tier | low lock-in
adept-ai | Adept AI | AI API / SDK for Developers | custom | no free tier | low lock-in
adikteev | Adikteev | Ad Monetization / Mediation | usage | no free tier | low lock-in
adjoe | adjoe | Code Assistants / Agent Tooling | subscription | no free tier | low lock-in
adjust | Adjust | Mobile Attribution / MMP | custom | no free tier | low lock-in
adminer | Adminer | DBaaS / Serverless Databases | free | free tier | high lock-in
