company_name,website,primary_category,subcategory,hq_country,status
Ghostty,ghostty.org,Developer Tools,Terminal Emulator,US,pending_review
WezTerm,wezfurlong.org/wezterm,Developer Tools,Terminal Emulator,US,pending_review
Starship,starship.rs,Developer Tools,Shell Prompt,US,pending_review
lazygit,github.com/jesseduffield/lazygit,Developer Tools,Git UI,AU,pending_review
zoxide,github.com/ajeetdsouza/zoxide,Developer Tools,CLI Navigation,US,pending_review
fzf,github.com/junegunn/fzf,Developer Tools,CLI Search,KR,pending_review
ripgrep,github.com/BurntSushi/ripgrep,Developer Tools,CLI Search,US,pending_review
bat,github.com/sharkdp/bat,Developer Tools,CLI Utility,DE,pending_review
eza,github.com/eza-community/eza,Developer Tools,CLI Utility,US,pending_review
delta,github.com/dandavison/delta,Developer Tools,Git Diff Viewer,US,pending_review
tmux,github.com/tmux/tmux,Developer Tools,Terminal Multiplexer,US,pending_review
HTTPie,httpie.io,Developer Tools,API Client,US,pending_review
Bun,bun.sh,Developer Tools,JavaScript Runtime,US,pending_review
Hono,hono.dev,Developer Tools,Web Framework,JP,pending_review
ElysiaJS,elysiajs.com,Developer Tools,Web Framework,TH,pending_review
Nitro,nitro.build,Developer Tools,Server Framework,FR,pending_review
Astro,astro.build,Developer Tools,Web Framework,US,pending_review
SvelteKit,kit.svelte.dev,Developer Tools,Web Framework,US,pending_review
Nuxt,nuxt.com,Developer Tools,Web Framework,FR,pending_review
Next.js,nextjs.org,Developer Tools,Web Framework,US,pending_review
Remix,remix.run,Developer Tools,Web Framework,US,pending_review
FastAPI,fastapi.tiangolo.com,Developer Tools,Web Framework,CO,pending_review
NestJS,nestjs.com,Developer Tools,Web Framework,IL,pending_review
Drizzle ORM,orm.drizzle.team,Developer Tools,ORM,UA,pending_review
Prisma,prisma.io,Developer Tools,ORM,DE,pending_review
TypeORM,typeorm.io,Developer Tools,ORM,US,pending_review
DBeaver,dbeaver.io,Developer Tools,Database GUI,US,pending_review
TablePlus,tableplus.com,Developer Tools,Database GUI,VN,pending_review
Figma,figma.com,Developer Tools,Design Tool,US,pending_review
Framer,framer.com,Developer Tools,Design & Prototyping,NL,pending_review
Webflow,webflow.com,No-Code Low-Code,Website Builder,US,pending_review
Spline,spline.design,Developer Tools,3D Design Tool,US,pending_review
Rive,rive.app,Developer Tools,Animation Tool,US,pending_review
Canva,canva.com,Developer Tools,Design Tool,AU,pending_review
tldraw,tldraw.com,Developer Tools,Whiteboard,UK,pending_review
Excalidraw,excalidraw.com,Developer Tools,Whiteboard,US,pending_review
