company_name,website,primary_category,subcategory,hq_country,status
Ory,ory.sh,Auth,Identity Management,Germany,active
PropelAuth,propelauth.com,Auth,Authentication,US,active
Stack Auth,stack-auth.com,Auth,Authentication,US,active
Userfront,userfront.com,Auth,Authentication,US,active
Unkey,unkey.com,Auth,API Key Management,US,active
Corbado,corbado.com,Auth,Passkey Authentication,Germany,active
BoxyHQ,boxyhq.com,Auth,Enterprise SSO,US,active
LoginRadius,loginradius.com,Auth,CIAM,Canada,active
Aserto,aserto.com,Auth,Authorization,US,active
Increase,increase.com,Payments,Banking API,US,active
OpenMeter,openmeter.io,Payments,Usage-Based Billing,US,active
Stigg,stigg.io,Payments,Pricing & Packaging,Israel,active
IAPHUB,iaphub.com,IAP,In-App Purchase,France,active
Encore,encore.dev,BaaS,Backend Framework,Sweden,active
Jamsocket,jamsocket.com,BaaS,Session Backends,US,active
Supavisor,supavisor.com,DBaaS,Connection Pooler,US,active
BuildShip,buildship.com,No-code,AI Workflow Backend,US,active
CrateDB,crate.io,DBaaS,Time-Series Database,Austria,active
Outerbase,outerbase.com,DBaaS,Database Interface,US,active
YugabyteDB,yugabyte.com,DBaaS,Distributed SQL,US,active
Tinybird,tinybird.co,Analytics,Real-Time Analytics API,Spain,active
Pirsch,pirsch.io,Analytics,Privacy-First Analytics,Germany,active
Plausible,plausible.io,Analytics,Privacy-First Analytics,Estonia,active
PoeticMetric,poeticmetric.com,Analytics,Privacy-First Analytics,Turkey,active
Baremetrics,baremetrics.com,Analytics,SaaS Metrics,US,active
devActivity,devactivity.com,Analytics,Developer Analytics,US,active
Langfuse,langfuse.com,Observability,LLM Observability,Germany,active
Highlight.io,highlight.io,Observability,Full-Stack Monitoring,US,active
Anteon,getanteon.com,Observability,Kubernetes Monitoring,Turkey,active
Instatus,instatus.com,Observability,Status Pages,US,active
Laminar,lmnr.ai,Observability,LLM Tracing,US,active
Opik,comet.com,Observability,ML Experiment Tracking,US,active
Odigos,odigos.io,Observability,Auto-Instrumentation,Israel,active
Rootly,rootly.com,Observability,Incident Management,US,active
Pagerly,pagerly.io,Observability,On-Call Management,US,active
Hypertune,hypertune.com,Feature Flags,Type-Safe Feature Flags,US,active
Bucket,bucket.co,Feature Flags,Feature Management,Denmark,active
Spacelift,spacelift.io,CI/CD,Infrastructure CI/CD,Poland,active
Northflank,northflank.com,CI/CD,Deploy & CI/CD Platform,UK,active
Terrateam,terrateam.io,CI/CD,Terraform CI/CD,US,active
Chromatic,chromatic.com,Test Automation,Visual Testing,US,active
Octomind,octomind.dev,Test Automation,AI Test Generation,Germany,active
CodSpeed,codspeed.io,Test Automation,Performance Testing,France,active
Applitools,applitools.com,Test Automation,Visual AI Testing,US,active
Percy,percy.io,Test Automation,Visual Testing,US,active
Beeceptor,beeceptor.com,Test Automation,API Mocking,India,active
Loadmill,loadmill.com,Test Automation,Load Testing,Israel,active
Sherlo,sherlo.io,Test Automation,Mobile Visual Testing,US,active
Meticulous,meticulous.ai,Test Automation,AI E2E Testing,US,active
Fiberplane,fiberplane.com,Test Automation,API Debugging,Netherlands,active
CodeRabbit,coderabbit.ai,Code Assistants,AI Code Review,US,active
Supermaven,supermaven.com,Code Assistants,AI Autocomplete,US,active
Cline,cline.bot,Code Assistants,AI Coding Agent,US,active
Cody,sourcegraph.com/cody,Code Assistants,AI Code Search,US,active
Mastra,mastra.ai,Code Assistants,AI Agent Framework,US,active
Fine,fine.dev,Code Assistants,AI Dev Agent,Israel,active
Warp,warp.dev,Code Assistants,AI Terminal,US,active
MarsCode,marscode.com,Code Assistants,AI IDE,China,active
GoCodeo,gocodeo.com,Code Assistants,AI IDE,India,active
Tolgee,tolgee.io,Localization,Open-Source i18n,Czech Republic,active
Lingo.dev,lingo.dev,Localization,AI Localization,US,active
Localazy,localazy.com,Localization,Localization Platform,Czech Republic,active
Bump.sh,bump.sh,API Management,API Documentation,France,active
Apidog,apidog.com,API Management,API Design & Testing,China,active
Swimm,swimm.io,API Management,Code Documentation,Israel,active
Scalar,scalar.com,API Management,API Reference,Austria,active
Orval,orval.dev,API Management,API Client Generator,France,active
Apideck,apideck.com,API Management,Unified API,Netherlands,active
Nango,nango.dev,API Management,Integration Platform,US,active
Panora,panora.dev,API Management,Unified API,France,active
Sequin,sequin.io,API Management,Database Sync,US,active
Trigger.dev,trigger.dev,API Management,Background Jobs,UK,active
n8n,n8n.io,API Management,Workflow Automation,Germany,active
Engagespot,engagespot.co,Push,Notification Infrastructure,India,active
Plain,plain.com,Support SDK,Customer Support API,UK,active
Olark,olark.com,Support SDK,Live Chat Widget,US,active
Tawk.to,tawk.to,Support SDK,Free Live Chat,US,active
Gorgias,gorgias.com,Support SDK,E-Commerce Support,US,active
Pylon,usepylon.com,Support SDK,B2B Support Platform,US,active
Roboflow,roboflow.com,AI API,Computer Vision,US,active
Clarifai,clarifai.com,AI API,Visual AI Platform,US,active
SiliconFlow,siliconflow.com,AI API,AI Inference Cloud,China,active
Novita AI,novita.ai,AI API,AI Model API,China,active
Lambda Labs,lambdalabs.com,AI API,GPU Cloud,US,active
Runware,runware.ai,AI API,Image Generation API,Netherlands,active
BentoML,bentoml.com,AI API,ML Model Serving,US,active
Maxim AI,getmaxim.ai,AI API,AI Evaluation,US,active
Coframe,coframe.ai,AI API,Generative UI,US,active
Tempo,tempolabs.ai,AI API,AI UI Builder,US,active
Magic Patterns,magicpatterns.com,AI API,AI Design-to-Code,US,active
Pixee,pixee.ai,Security Scanning,AI Code Security,US,active
Socket,socket.dev,Security Scanning,Supply Chain Security,US,active
Bearer,bearer.com,Security Scanning,Data Flow Security,France,active
AccuKnox,accuknox.com,Security Scanning,Zero Trust Runtime,US,active
Aqua Security,aquasec.com,Security Scanning,Cloud Native Security,Israel,active
Contentful,contentful.com,No-code,Headless CMS,Germany,active
Sanity,sanity.io,No-code,Headless CMS,Norway,active
Strapi,strapi.io,No-code,Open-Source CMS,France,active
Ghost,ghost.org,No-code,Publishing Platform,Singapore,active
DatoCMS,datocms.com,No-code,Headless CMS,Italy,active
Reflex,reflex.dev,No-code,Python Web Framework,US,active
ToolJet,tooljet.com,No-code,Internal Tool Builder,US,active
Activepieces,activepieces.com,No-code,Open-Source Automation,US,active
Flatfile,flatfile.com,ETL,Data Import,US,active
Matillion,matillion.com,ETL,Cloud ETL,UK,active
Portable,portable.io,ETL,No-Code ELT,US,active
Improvado,improvado.io,ETL,Marketing Data ETL,US,active
Quickwit,quickwit.io,Search,Log Search Engine,France,active
Websolr,websolr.com,Search,Hosted Solr,US,active
PlaceKit,placekit.io,Maps,Address Autocomplete,France,active
SmartyStreets,smarty.com,Maps,Address Verification,US,active
MapTiler,maptiler.com,Maps,Map Tiles API,Switzerland,active
Geocodio,geocod.io,Maps,Geocoding API,US,active
AirPinpoint,airpinpoint.com,Maps,Location API,US,active
Gcore,gcore.com,CDN,Edge Cloud & CDN,Luxembourg,active
CDN77,cdn77.com,CDN,Video CDN,Czech Republic,active
Kinsta,kinsta.com,CDN,Managed Hosting,US,active
Koyeb,koyeb.com,CDN,Serverless Platform,France,active
Zeabur,zeabur.com,CDN,Deploy Platform,Taiwan,active
Carbone,carbone.io,No-code,Document Generation,France,active
DocRaptor,docraptor.com,No-code,HTML-to-PDF API,US,active
Export SDK,exportsdk.com,No-code,PDF Generation API,US,active
Lob,lob.com,Messaging,Direct Mail API,US,active
FormSpree,formspree.io,Messaging,Form Backend,US,active
Applozic,applozic.com,Messaging,Chat SDK,India,active
Apify,apify.com,ETL,Web Scraping Platform,Czech Republic,active
ScrapingBee,scrapingbee.com,ETL,Web Scraping API,France,active
ZenRows,zenrows.com,ETL,Web Scraping API,Spain,active
Codacy,codacy.com,Security Scanning,Code Quality,Portugal,active
Semgrep,semgrep.dev,Security Scanning,Static Analysis,US,active
Blackfire.io,blackfire.io,APM,PHP Profiling,France,active
Lightrun,lightrun.com,APM,Live Debugging,Israel,active
Rookout,rookout.com,APM,Live Debugging,Israel,active
ngrok,ngrok.com,API Management,Secure Tunnels,US,active
Nylas,nylas.com,API Management,Email Calendar API,US,active
Camunda,camunda.com,API Management,Process Orchestration,Germany,active
EasyPost,easypost.com,API Management,Shipping API,US,active
Earthly,earthly.dev,CI/CD,Containerized Builds,US,active
Daytona,daytona.io,CI/CD,Dev Environments,Croatia,active
Cloudsmith,cloudsmith.com,CI/CD,Package Registry,UK,active
JFrog,jfrog.com,CI/CD,Artifact Management,US,active
Kodus,kodus.io,Code Assistants,AI Code Quality,Brazil,active
Ellipsis,ellipsis.dev,Code Assistants,AI Code Review,US,active
Potpie,potpie.ai,Code Assistants,AI Code Agent,India,active
Graphite,graphite.dev,CI/CD,Stacking PRs,US,active
Aviator,aviator.co,CI/CD,Merge Queue,US,active
PlayerZero,playerzero.app,Session Replay,AI Issue Detection,US,active
Greptile,greptile.com,Code Assistants,Codebase AI Search,US,active
SST,sst.dev,BaaS,Serverless Framework,US,active
Tiptap,tiptap.dev,No-code,Rich Text Editor,Germany,active
Pipedream,pipedream.com,API Management,Workflow Platform,US,active
Tray.ai,tray.ai,API Management,Integration Platform,UK,active
Asodesk,asodesk.com,ASO,App Store Analytics,Russia,active
FoxData,foxdata.io,ASO,App Intelligence,China,active
AppDrift,appdrift.co,ASO,ASO Toolkit,US,active
Patronus AI,patronus.ai,AI API,AI Safety Eval,US,active
Cognee,cognee.ai,AI API,Knowledge Graph,US,active
Agentset,agentset.ai,AI API,Agent Search,US,active
Sazabi,sazabi.io,Observability,AI-Native Observability,US,active
IncidentFox,incidentfox.com,Observability,AI SRE Agent,US,active
Sourcebot,sourcebot.dev,Code Assistants,Code Understanding,US,active
Stage,stage.dev,CI/CD,AI Code Review,US,active
Runtime,runtime.dev,Code Assistants,Agent Control,US,active
Lark Testing,uselark.ai,Test Automation,Plain English Tests,US,active
Magnitude,magnitude.dev,Code Assistants,AI Coding Agent,US,active
stagewise,stagewise.io,Code Assistants,Frontend Agent,US,active
Notte,notte.cc,AI API,Browser Agent Platform,US,active
Alter,alter.security,Security Scanning,Agent Identity,US,active
Manufact,manufact.dev,API Management,MCP Infrastructure,US,active
Modelence,modelence.com,BaaS,Agentic Platform,US,active
s2.dev,s2.dev,Real-time,Durable Streams API,US,active
Dedalus Labs,dedaluslabs.com,AI API,Multi-Model Agents,US,active
InsForge,insforge.com,BaaS,AI Agent Backend,US,active
