company_name,website,primary_category,subcategory,hq_country,status
Trigger.dev,trigger.dev,Developer Tools,Job Queues & Background Jobs,United Kingdom,active
BullMQ,bullmq.io,Developer Tools,Job Queues & Background Jobs,United States,active
Graphile Worker,worker.graphile.org,Developer Tools,Job Queues & Background Jobs,United Kingdom,active
pg-boss,github.com/timgit/pg-boss,Developer Tools,Job Queues & Background Jobs,United States,active
Quirrel,quirrel.dev,Developer Tools,Job Queues & Background Jobs,Germany,active
Agenda,agendajs.com,Developer Tools,Job Queues & Background Jobs,United States,active
Bee Queue,github.com/bee-queue/bee-queue,Developer Tools,Job Queues & Background Jobs,United States,active
node-cron,github.com/node-cron/node-cron,Developer Tools,Job Scheduling,Brazil,active
node-schedule,github.com/node-schedule/node-schedule,Developer Tools,Job Scheduling,United States,active
Croner,github.com/Hexagon/croner,Developer Tools,Job Scheduling,Sweden,active
pnpm,pnpm.io,Developer Tools,Package Management,United States,active
Yarn,yarnpkg.com,Developer Tools,Package Management,United States,active
Volta,volta.sh,Developer Tools,Node Version Management,United States,active
fnm,github.com/Schniz/fnm,Developer Tools,Node Version Management,Israel,active
Corepack,github.com/nodejs/corepack,Developer Tools,Package Management,United States,active
Parcel,parceljs.org,Developer Tools,Build Tools & Bundlers,United States,active
Turbopack,turbo.build/pack,Developer Tools,Build Tools & Bundlers,United States,active
Rolldown,rolldown.rs,Developer Tools,Build Tools & Bundlers,United States,active
tsup,tsup.egoist.dev,Developer Tools,Build Tools & Bundlers,China,active
unbuild,github.com/unjs/unbuild,Developer Tools,Build Tools & Bundlers,Austria,active
pkgroll,github.com/privatenumber/pkgroll,Developer Tools,Build Tools & Bundlers,Australia,active
tsx,github.com/privatenumber/tsx,Developer Tools,TypeScript Execution,Australia,active
ts-node,typestrong.org/ts-node,Developer Tools,TypeScript Execution,United States,active
Ultracite,ultracite.dev,Developer Tools,Code Formatting & Linting,United States,active
dprint,dprint.dev,Developer Tools,Code Formatting & Linting,United States,active
Rome,rome.tools,Developer Tools,Code Formatting & Linting,United States,inactive
Husky,typicode.github.io/husky,Developer Tools,Git Hooks,France,active
lint-staged,github.com/okonet/lint-staged,Developer Tools,Git Hooks,Switzerland,active
Lefthook,evilmartians.com/lefthook,Developer Tools,Git Hooks,United States,active
simple-git-hooks,github.com/toplenboren/simple-git-hooks,Developer Tools,Git Hooks,Russia,active
commitlint,commitlint.js.org,Developer Tools,Commit Linting,Germany,active
conventional-changelog,github.com/conventional-changelog,Developer Tools,Release Tooling,United States,active
release-it,release-it.dev,Developer Tools,Release Tooling,Netherlands,active
np,github.com/sindresorhus/np,Developer Tools,Release Tooling,Denmark,active
bumpp,github.com/antfu/bumpp,Developer Tools,Release Tooling,China,active
standard-version,github.com/conventional-changelog/standard-version,Developer Tools,Release Tooling,United States,inactive
wireit,github.com/google/wireit,Developer Tools,Build Tooling,United States,active
